DateTime,WindSpeed,WindDirection,ActivePower_kW,PredictedPower_kW,Source
01 01 2018 00:00,5.311,416.329,380.048,0.000,CSV
04 01 2018 06:50,7.978,216.913,1523.793,1417.339,MQTT
01 01 2018 00:10,5.672,519.918,453.769,422.180,CSV
01 01 2018 00:20,5.216,390.900,306.377,298.392,CSV
01 01 2018 00:30,5.660,516.128,419.646,391.956,CSV
01 01 2018 00:40,5.578,491.703,380.651,412.579,CSV
01 01 2018 00:50,5.604,499.436,402.392,459.420,CSV
01 01 2018 01:00,5.793,557.372,447.606,449.969,CSV
01 01 2018 01:10,5.306,414.898,387.242,302.467,CSV
01 01 2018 01:20,5.585,493.678,463.651,424.054,CSV
01 01 2018 01:30,5.523,475.707,439.726,402.124,CSV
01 01 2018 01:40,5.724,535.841,498.182,464.665,CSV
01 01 2018 01:50,5.934,603.014,526.816,598.563,CSV
01 01 2018 02:00,6.547,824.663,710.587,693.564,CSV
01 01 2018 02:10,6.200,693.473,655.194,640.063,CSV
01 01 2018 02:20,6.505,808.098,754.763,682.595,CSV
01 01 2018 02:30,6.634,859.459,790.173,634.142,CSV
01 01 2018 02:40,6.379,759.435,742.985,648.581,CSV
01 01 2018 02:50,6.447,785.281,748.230,633.783,CSV
01 01 2018 03:00,6.415,773.173,736.648,656.170,CSV
01 01 2018 03:10,6.438,781.771,787.246,660.738,CSV
01 01 2018 03:20,6.220,700.765,722.864,646.702,CSV
01 01 2018 03:30,6.898,970.737,935.033,829.144,CSV
01 01 2018 03:40,7.610,1315.049,1220.609,1100.350,CSV
01 01 2018 03:50,7.288,1151.266,1053.772,1083.106,CSV
01 01 2018 04:00,7.943,1497.584,1493.808,1275.395,CSV
01 01 2018 04:10,8.376,1752.200,1724.488,1447.107,CSV
01 01 2018 04:20,8.237,1668.471,1636.935,1434.164,CSV
01 01 2018 04:30,7.880,1461.816,1385.488,1003.484,CSV
01 01 2018 04:40,7.101,1062.285,1098.932,895.929,CSV
01 01 2018 04:50,6.955,995.996,1021.458,844.793,CSV
01 01 2018 05:00,7.098,1060.860,1164.893,954.436,CSV
01 01 2018 05:10,6.954,995.251,1073.332,779.254,CSV
01 01 2018 05:20,7.250,1132.417,1165.308,951.201,CSV
01 01 2018 05:30,7.295,1154.365,1177.990,1035.472,CSV
01 01 2018 05:40,7.376,1194.843,1170.536,966.254,CSV
01 01 2018 05:50,7.449,1231.431,1145.536,762.916,CSV
01 01 2018 06:00,7.239,1127.433,1114.027,1019.633,CSV
01 01 2018 06:10,7.329,1171.355,1153.185,1058.142,CSV
01 01 2018 06:20,7.140,1080.139,1125.331,859.685,CSV
01 01 2018 06:30,7.474,1244.634,1228.732,1016.769,CSV
01 01 2018 06:40,7.033,1030.993,1021.793,973.194,CSV
01 01 2018 06:50,6.886,965.683,957.378,831.560,CSV
01 01 2018 07:00,6.888,966.279,909.888,804.806,CSV
01 01 2018 07:10,7.216,1116.472,1000.954,838.636,CSV
01 01 2018 07:20,7.069,1047.170,1024.478,921.207,CSV
01 01 2018 07:30,6.938,988.452,1009.534,709.157,CSV
01 01 2018 07:40,6.537,820.417,899.493,750.585,CSV
01 01 2018 07:50,6.181,686.637,725.110,584.709,CSV
01 01 2018 08:00,5.817,564.928,585.259,458.185,CSV
01 01 2018 08:10,5.450,454.774,443.914,376.905,CSV
01 01 2018 08:20,5.818,565.349,565.254,511.619,CSV
01 01 2018 08:30,6.130,668.824,644.038,614.340,CSV
01 01 2018 08:40,6.347,747.461,712.059,551.014,CSV
01 01 2018 08:50,6.347,747.595,737.395,656.455,CSV
01 01 2018 09:00,6.194,691.546,725.868,382.989,CSV
01 01 2018 09:10,4.977,330.418,408.997,201.880,CSV
01 01 2018 09:20,5.959,611.284,628.437,478.711,CSV
01 01 2018 09:30,6.211,697.650,716.101,652.712,CSV
01 01 2018 09:40,6.111,662.235,711.496,644.806,CSV
01 01 2018 09:50,6.456,789.011,838.152,519.139,CSV
01 01 2018 10:00,6.667,872.740,881.062,781.417,CSV
01 01 2018 10:10,6.163,680.328,663.703,600.492,CSV
01 01 2018 10:20,6.013,628.443,578.262,490.326,CSV
01 01 2018 10:30,5.561,486.780,465.620,381.367,CSV
01 01 2018 10:40,4.961,326.411,311.051,278.015,CSV
01 01 2018 10:50,4.604,244.316,230.056,170.333,CSV
01 01 2018 11:00,4.555,233.633,233.991,194.365,CSV
01 01 2018 11:10,4.264,173.574,175.592,136.370,CSV
01 01 2018 11:20,3.894,108.571,118.133,86.574,CSV
01 01 2018 11:30,4.039,130.230,142.203,117.188,CSV
01 01 2018 11:40,4.506,223.197,212.566,140.018,CSV
01 01 2018 11:50,4.543,231.243,222.610,129.949,CSV
01 01 2018 12:00,4.324,185.599,194.181,166.506,CSV
01 01 2018 12:10,3.634,68.503,82.641,50.803,CSV
01 01 2018 12:20,3.706,78.396,75.895,17.526,CSV
01 01 2018 12:30,3.254,29.287,41.947,8.926,CSV
01 01 2018 12:40,3.775,88.871,118.535,69.684,CSV
01 01 2018 12:50,4.694,264.119,250.756,91.606,CSV
01 01 2018 13:00,5.003,336.722,346.864,196.834,CSV
01 01 2018 13:10,5.365,430.921,416.418,351.091,CSV
01 01 2018 13:20,5.016,339.985,331.942,291.898,CSV
01 01 2018 13:30,5.970,615.056,583.480,589.718,CSV
01 01 2018 13:40,6.656,868.181,776.553,855.698,CSV
01 01 2018 13:50,6.601,846.029,752.726,754.068,CSV
01 01 2018 14:00,5.981,618.731,589.073,579.407,CSV
